end_station_id,month,end_station_name,end_lat,end_lng,ride_count
2733.03,1,67 St & Erik Pl,40.633385,-74.016562,400
2733.03,2,67 St & Erik Pl,40.633385,-74.016562,200
2733.03,3,67 St & Erik Pl,40.633385,-74.016562,200
2733.03,4,67 St & Erik Pl,40.633385,-74.016562,200
2733.03,5,67 St & Erik Pl,40.633385,-74.016562,300
2733.03,6,67 St & Erik Pl,40.633385,-74.016562,700
2733.03,7,67 St & Erik Pl,40.633385,-74.016562,300
2733.03,8,67 St & Erik Pl,40.633385,-74.016562,200
2733.03,9,67 St & Erik Pl,40.633385,-74.016562,100
2733.03,10,67 St & Erik Pl,40.633385,-74.016562,100
2733.03,11,67 St & Erik Pl,40.633385,-74.016562,700
2733.03,12,67 St & Erik Pl,40.633385,-74.016562,100
2782.02,1,5 Ave & 66 St,40.635679,-74.020005,200
2782.02,2,5 Ave & 66 St,40.635679,-74.020005,200
2782.02,3,5 Ave & 66 St,40.635679,-74.020005,300
2782.02,4,5 Ave & 66 St,40.635679,-74.020005,500
2782.02,5,5 Ave & 66 St,40.635679,-74.020005,300
2782.02,6,5 Ave & 66 St,40.635679,-74.020005,200
2782.02,7,5 Ave & 66 St,40.635679,-74.020005,300
2782.02,8,5 Ave & 66 St,40.635679,-74.020005,200
2782.02,9,5 Ave & 66 St,40.635679,-74.020005,200
2782.02,10,5 Ave & 67 St,40.635679,-74.020005,600
2782.02,11,5 Ave & 67 St,40.635679,-74.020005,100
2782.02,12,5 Ave & 67 St,40.635679,-74.020005,200
2821.05,1,7 Ave & 62 St,40.63556,-74.01298,100
2821.05,4,7 Ave & 62 St,40.63556,-74.01298,200
2821.05,5,7 Ave & 62 St,40.63556,-74.01298,300
2821.05,6,7 Ave & 62 St,40.63556,-74.01298,300
2821.05,7,7 Ave & 62 St,40.63556,-74.01298,500
2821.05,8,7 Ave & 62 St,40.63556,-74.01298,300
2821.05,9,7 Ave & 62 St,40.63556,-74.01298,100
2821.05,10,7 Ave & 62 St,40.63556,-74.01298,500
2821.05,11,7 Ave & 62 St,40.63556,-74.01298,300
2821.05,12,7 Ave & 62 St,40.63556,-74.01298,100
2832.03,1,4 Ave & Shore Road Dr,40.637033,-74.022141,300
2832.03,2,4 Ave & Shore Road Dr,40.637033,-74.022141,200
2832.03,3,4 Ave & Shore Road Dr,40.637033,-74.022141,200
